,Type,bedroom,bathroom,furnishing,Carpet Area (ft²),Maintenance (Monthly),facing,Total floor,state,Rent,Carpet Area (ft²)nan,Maintenance (Monthly)nan
180,Apartments,3,3,Semi-Furnished,1500.0,2600.0,East,13, Kerala,15000,0,0
181,Houses & Villas,2,2,Semi-Furnished,800.0,0.0,East,2, Kerala,10000,0,0
182,Apartments,3,3,Semi-Furnished,100.0,0.0,East,17, Kerala,18000,0,0
183,Houses & Villas,2,2,Semi-Furnished,900.0,0.0,East,1, Kerala,6000,0,0
184,Houses & Villas,1,1,Semi-Furnished,500.0,0.0,East,2, Kerala,7250,0,0
185,Houses & Villas,3,3,Semi-Furnished,800.0,0.0,East,2, Kerala,14000,1,0
186,Apartments,1,1,Furnished,560.0,0.0,others,3, Kerala,11000,0,0
187,Houses & Villas,2,2,Furnished,850.0,10000.0,East,2, Kerala,1500000,0,0
188,Houses & Villas,3,3,Unfurnished,200.0,15000.0,West,2, Kerala,12000,0,0
189,Houses & Villas,2,3,Semi-Furnished,1500.0,0.0,East,1, Kerala,8500,0,0
190,Apartments,3,3,Semi-Furnished,800.0,2000.0,East,12, Kerala,11000,1,0
191,Apartments,3,3,Unfurnished,800.0,300.0,others,1, Kerala,12000,1,1
192,Houses & Villas,3,3,Unfurnished,2000.0,100.0,West,2, Kerala,30000,0,0
193,Apartments,2,2,Furnished,120.0,3000.0,others,19, Kerala,15000,0,0
194,Apartments,2,2,Semi-Furnished,100.0,1500.0,others,11, Kerala,10500,0,0
195,Houses & Villas,1,1,Semi-Furnished,350.0,0.0,West,3, Kerala,8000,0,0
196,Houses & Villas,1,1,Semi-Furnished,350.0,100.0,West,3, Kerala,8000,0,0
197,Apartments,3,3,Furnished,1540.0,2500.0,others,23, Kerala,21000,0,0
198,Houses & Villas,2,3,Unfurnished,800.0,0.0,East,1, Kerala,10500,1,0
199,Apartments,1,1,Semi-Furnished,800.0,300.0,others,2, Kerala,7000,1,1
200,Apartments,3,3,Semi-Furnished,1500.0,0.0,West,15, Kerala,13250,0,0
201,Apartments,1,1,Semi-Furnished,600.0,0.0,others,3, Kerala,10000,0,0
202,Apartments,2,2,Furnished,1020.0,300.0,others,16, Kerala,20000,0,0
203,Apartments,2,2,Unfurnished,1000.0,0.0,East,2, Kerala,8000,0,0
204,Houses & Villas,3,2,Unfurnished,600.0,300.0,others,1, Kerala,25000,0,1
205,Houses & Villas,3,3,Semi-Furnished,750.0,0.0,North,1, Kerala,14000,0,0
206,Apartments,2,2,Furnished,1000.0,300.0,others,2, Kerala,15000,0,1
207,Apartments,3,3,Furnished,2200.0,2500.0,North,4, Kerala,35000,0,0
208,Apartments,3,3,Furnished,1250.0,2000.0,others,12, Kerala,20000,0,0
209,Apartments,2,2,Furnished,950.0,4000.0,South,25, Kerala,13500,0,0
210,Houses & Villas,4,3,Semi-Furnished,2000.0,0.0,North-East,2, Kerala,8500,0,0
211,Apartments,2,2,Unfurnished,1110.0,1000.0,South,3, Kerala,13000,0,0
212,Houses & Villas,2,1,Unfurnished,600.0,0.0,East,3, Kerala,7500,0,0
213,Apartments,3,3,Furnished,1620.0,2500.0,North-East,21, Kerala,20000,0,0
214,Apartments,3,3,Unfurnished,1550.0,2500.0,East,15, Kerala,15000,0,0
215,Apartments,1,1,Semi-Furnished,600.0,1700.0,others,11, Kerala,13000,0,0
216,Apartments,1,2,Semi-Furnished,800.0,300.0,North,3, Kerala,2500,0,1
217,Apartments,3,3,Semi-Furnished,915.0,300.0,others,5, Kerala,15000,0,0
218,Apartments,3,3,Furnished,228.0,40000.0,others,19, Kerala,27000,0,0
219,Apartments,3,3,Furnished,1412.0,3000.0,others,17, Kerala,21000,0,0
220,Houses & Villas,2,2,Semi-Furnished,1700.0,1000.0,East,1, Kerala,9000,0,0
221,Apartments,3,3,Furnished,2000.0,3000.0,East,10, Kerala,30000,0,0
222,Houses & Villas,2,2,Semi-Furnished,1200.0,300.0,others,1, Kerala,13000,0,1
223,Apartments,2,2,Furnished,1000.0,3500.0,East,14, Kerala,19500,0,0
224,Houses & Villas,2,2,Unfurnished,1000.0,0.0,East,2, Kerala,12000,0,0
225,Houses & Villas,3,2,Semi-Furnished,1100.0,0.0,others,0, Kerala,10000,0,0
226,Houses & Villas,4,4,Furnished,2700.0,300.0,others,2, Kerala,10000000,0,1
227,Houses & Villas,2,1,Semi-Furnished,800.0,300.0,others,2, Kerala,300000,1,1
228,Apartments,2,2,Furnished,1200.0,0.0,North,3, Kerala,13000,0,0
229,Apartments,2,2,Semi-Furnished,1000.0,11000.0,North,2, Kerala,11000,0,0
230,Apartments,3,4,Semi-Furnished,1320.0,400.0,East,3, Kerala,14500,0,0
231,Apartments,2,2,Semi-Furnished,100.0,100.0,East,3, Kerala,9000,0,0
232,Apartments,1,1,Semi-Furnished,100.0,100.0,East,2, Kerala,7000,0,0
233,Houses & Villas,2,2,Semi-Furnished,1000.0,100.0,East,2, Kerala,9000,0,0
234,Apartments,2,2,Semi-Furnished,100.0,100.0,East,2, Kerala,8000,0,0
235,Apartments,2,2,Semi-Furnished,600.0,500.0,North,2, Kerala,8500,0,0
236,Apartments,2,2,Semi-Furnished,500.0,500.0,West,3, Kerala,9500,0,0
237,Houses & Villas,4,3,Furnished,800.0,0.0,East,2, Kerala,18000,1,0
238,Apartments,1,1,Semi-Furnished,300.0,100.0,East,2, Kerala,6500,0,0
239,Apartments,1,1,Furnished,175.0,300.0,others,3, Kerala,6000,0,1
240,Apartments,2,2,Semi-Furnished,100.0,100.0,East,2, Kerala,10000,0,0
241,Apartments,1,1,Semi-Furnished,100.0,100.0,East,2, Kerala,5000,0,0
242,Apartments,3,2,Furnished,1100.0,2000.0,East,4, Kerala,160006,0,0
243,Houses & Villas,2,2,Semi-Furnished,1000.0,0.0,East,2, Kerala,10500,0,0
244,Houses & Villas,2,2,Semi-Furnished,950.0,0.0,West,2, Kerala,9000,0,0
245,Houses & Villas,3,2,Unfurnished,850.0,100.0,East,1, Kerala,10000,0,0
246,Houses & Villas,4,4,Unfurnished,1700.0,500.0,North,2, Kerala,15000,0,0
247,Houses & Villas,2,1,Semi-Furnished,750.0,300.0,others,2, Kerala,500000,0,1
248,Apartments,1,1,Furnished,600.0,300.0,others,2, Kerala,17000,0,1
249,Apartments,2,2,Semi-Furnished,1400.0,300.0,others,1, Kerala,10000,0,1
250,Apartments,2,2,Semi-Furnished,450.0,300.0,others,1, Kerala,10000,0,1
251,Apartments,3,3,Semi-Furnished,1750.0,3000.0,East,11, Kerala,20000,0,0
252,Apartments,2,2,Unfurnished,600.0,0.0,East,1, Kerala,10000,0,0
253,Houses & Villas,3,3,Semi-Furnished,120.0,300.0,others,1, Kerala,5000,0,1
254,Apartments,3,3,Furnished,1100.0,4000.0,South-East,19, Kerala,18000,0,0
255,Houses & Villas,3,2,Unfurnished,1200.0,300.0,East,2, Kerala,15000,0,1
256,Builder Floors,1,1,Semi-Furnished,350.0,100.0,South-East,3, Kerala,7500,0,0
257,Apartments,2,2,Furnished,1150.0,2200.0,West,14, Kerala,17500,0,0
258,Houses & Villas,2,2,Semi-Furnished,100.0,100.0,East,1, Kerala,10000,0,0
259,Apartments,2,2,Furnished,850.0,0.0,East,3, Kerala,17000,0,0
260,Houses & Villas,2,2,Semi-Furnished,100.0,100.0,East,2, Kerala,10000,0,0
261,Houses & Villas,4,4,Furnished,1000.0,300.0,East,2, Kerala,40000,0,1
262,Houses & Villas,2,1,Unfurnished,600.0,0.0,South,2, Kerala,8000,0,0
263,Houses & Villas,2,2,Semi-Furnished,100.0,100.0,East,2, Kerala,11000,0,0
264,Houses & Villas,2,2,Furnished,1000.0,0.0,West,3, Kerala,10000,0,0
265,Apartments,2,1,Semi-Furnished,1200.0,6500.0,South,1, Kerala,6500,0,0
266,Apartments,2,2,Furnished,100.0,100.0,East,2, Kerala,12000,0,0
267,Houses & Villas,2,2,Semi-Furnished,1100.0,0.0,East,2, Kerala,10000,0,0
268,Apartments,2,2,Semi-Furnished,100.0,100.0,East,2, Kerala,9000,0,0
269,Houses & Villas,3,2,Unfurnished,1200.0,5000.0,North-West,1, Kerala,5000,0,0
270,Apartments,2,2,Semi-Furnished,100.0,100.0,East,2, Kerala,10500,0,0
271,Houses & Villas,1,1,Semi-Furnished,800.0,5000.0,others,2, Kerala,5000,0,0
272,Apartments,3,3,Unfurnished,1350.0,300.0,others,2, Kerala,17500,0,1
273,Apartments,3,3,Semi-Furnished,1500.0,3500.0,East,20, Kerala,15000,0,0
274,Houses & Villas,2,2,Semi-Furnished,800.0,300.0,others,1, Kerala,12000,0,1
275,Houses & Villas,2,3,Semi-Furnished,1000.0,15000.0,West,2, Kerala,15000,0,0
276,Houses & Villas,2,2,Unfurnished,900.0,0.0,East,2, Kerala,12000,0,0
277,Apartments,2,2,Semi-Furnished,900.0,0.0,North,2, Kerala,6500,0,0
278,Houses & Villas,2,2,Unfurnished,1200.0,0.0,North,2, Kerala,12500,0,0
279,Houses & Villas,1,1,Unfurnished,600.0,300.0,others,1, Kerala,8500,0,1
280,Houses & Villas,5,4,Semi-Furnished,2000.0,300.0,others,2, Kerala,20000,0,1
281,Houses & Villas,2,2,Furnished,1200.0,300.0,others,2, Kerala,9500,0,1
282,Apartments,2,1,Semi-Furnished,953.0,0.0,East,2, Kerala,9000,0,0
283,Houses & Villas,2,2,Semi-Furnished,750.0,0.0,others,0, Kerala,6000,0,0
284,Apartments,2,2,Semi-Furnished,720.0,1000.0,East,3, Kerala,13000,0,0
285,Apartments,3,2,Semi-Furnished,800.0,9744114886.0,East,3, Kerala,14000,0,0
286,Houses & Villas,3,2,Semi-Furnished,2500.0,12000.0,North-West,1, Kerala,12000,0,0
287,Houses & Villas,3,3,Semi-Furnished,2000.0,300.0,others,2, Kerala,13000,0,1
288,Builder Floors,1,1,Unfurnished,100.0,300.0,East,15, Kerala,6000,0,1
289,Houses & Villas,2,5,Unfurnished,500.0,500.0,East,2, Kerala,14000,0,0
